"year","agDistrict","agDistrictCode","county","countyANSI","cornPlanted","cornHarvested","cornYield","cvCornPlanted","cvCornHarvested","cvCornYield","cornPercentHarvest"
2019,"WEST CENTRAL",40,"MERCER",107,84000,73000,"176.7",NA,NA,NA,0.869047619047619
2019,"WEST CENTRAL",40,"MIAMI",109,66000,64000,"151.6",NA,NA,NA,0.96969696969697
2019,"WEST CENTRAL",40,"SHELBY",149,67000,61000,"159",NA,NA,NA,0.91044776119403
2018,"CENTRAL",50,"FAIRFIELD",45,62000,61000,"183.6",NA,NA,NA,0.983870967741935
2018,"CENTRAL",50,"FAYETTE",47,86000,84000,"191.7",NA,NA,NA,0.976744186046512
2018,"CENTRAL",50,"FRANKLIN",49,15000,14800,"165",NA,NA,NA,0.986666666666667
2018,"CENTRAL",50,"KNOX",83,56000,54000,"164.8",NA,NA,NA,0.964285714285714
2018,"CENTRAL",50,"MADISON",97,91000,83500,"198.8",NA,NA,NA,0.917582417582418
2018,"CENTRAL",50,"MARION",101,64000,62000,"209.7",NA,NA,NA,0.96875
2018,"CENTRAL",50,"OTHER COUNTIES",NA,144000,138700,"177.4",NA,NA,NA,0.963194444444444
2018,"CENTRAL",50,"PICKAWAY",129,94000,92000,"188",NA,NA,NA,0.978723404255319
2018,"CENTRAL",50,"ROSS",141,50000,49000,"185.7",NA,NA,NA,0.98
2018,"CENTRAL",50,"UNION",159,58000,56000,"192.1",NA,NA,NA,0.96551724137931
2018,"EAST CENTRAL",60,"BELMONT",13,700,300,"100",NA,NA,NA,0.428571428571429
2018,"EAST CENTRAL",60,"CARROLL",19,11000,9200,"130.4",NA,NA,NA,0.836363636363636
2018,"EAST CENTRAL",60,"COSHOCTON",31,27000,24000,"166.7",NA,NA,NA,0.888888888888889
